player_name,age,market_value_m,position_tm,tm_league,league
Massimo Pessina,18,1.0,Goalkeeper,Serie A,
Jhon Lucumí,27,25.0,Centre-Back,Serie A,
Torbjørn Heggem,27,14.0,Centre-Back,Serie A,
Martin Vitík,23,10.0,Centre-Back,Serie A,
Eivind Helland,20,6.0,Centre-Back,Serie A,
Nicolò Casale,28,5.0,Centre-Back,Serie A,
Kevin Bonifazi,29,0.3,Centre-Back,Serie A,
Juan Miranda,26,15.0,Left-Back,Serie A,
Charalampos Lykogiannis,32,1.5,Left-Back,Serie A,
João Mário,26,8.5,Right-Back,Serie A,
Nadir Zortea,26,7.5,Right-Back,Serie A,
Lorenzo De Silvestri,37,0.7,Right-Back,Serie A,
Nikola Moro,28,6.5,Defensive Midfield,Serie A,
Lewis Ferguson,26,20.0,Central Midfield,Serie A,
Tommaso Pobega,26,9.0,Central Midfield,Serie A,
Simon Sohm,24,8.0,Central Midfield,Serie A,
Remo Freuler,33,4.0,Central Midfield,Serie A,
Jens Odgaard,26,15.0,Attacking Midfield,Serie A,
Nicolò Cambiaghi,25,18.0,Left Winger,Serie A,
Jonathan Rowe,22,16.0,Left Winger,Serie A,
Benja Domínguez,22,12.0,Left Winger,Serie A,
Riccardo Orsolini,29,25.0,Right Winger,Serie A,
Federico Bernardeschi,32,3.5,Right Winger,Serie A,
Santiago Castro,21,35.0,Centre-Forward,Serie A,
Thijs Dallinga,25,12.0,Centre-Forward,Serie A,
David de Gea,35,3.5,Goalkeeper,Serie A,
Oliver Christensen,26,1.5,Goalkeeper,Serie A,
Luca Lezzerini,30,0.35,Goalkeeper,Serie A,
Pietro Comuzzo,21,23.0,Centre-Back,Serie A,
Marin Pongracic,28,7.5,Centre-Back,Serie A,
Luca Ranieri,26,7.0,Centre-Back,Serie A,
Eddy Kouadio,19,2.5,Centre-Back,Serie A,
Daniele Rugani,31,2.0,Centre-Back,Serie A,
Eman Košpo,18,1.5,Centre-Back,Serie A,
Niccolò Fortini,20,10.0,Left-Back,Serie A,
Robin Gosens,31,6.0,Left-Back,Serie A,
Fabiano Parisi,25,4.5,Left-Back,Serie A,
Luis Balbo,19,0.1,Left-Back,Serie A,
Dodô,27,18.0,Right-Back,Serie A,
Tariq Lamptey,25,8.0,Right-Back,Serie A,
Rolando Mandragora,28,10.0,Defensive Midfield,Serie A,
Nicolò Fagioli,25,14.0,Central Midfield,Serie A,
Jacopo Fazzini,23,9.0,Central Midfield,Serie A,
Marco Brescianini,26,7.5,Central Midfield,Serie A,
Cher Ndour,21,5.0,Central Midfield,Serie A,
Giovanni Fabbian,23,10.0,Attacking Midfield,Serie A,
Abdelhamid Sabiri,29,1.5,Attacking Midfield,Serie A,
Jack Harrison,29,10.0,Left Winger,Serie A,
Manor Solomon,26,9.0,Left Winger,Serie A,
Albert Gudmundsson,28,13.0,Second Striker,Serie A,
Moise Kean,26,45.0,Centre-Forward,Serie A,
Roberto Piccoli,25,18.0,Centre-Forward,Serie A,
Ivan Provedel,31,3.0,Goalkeeper,Serie A,
Edoardo Motta,21,1.2,Goalkeeper,Serie A,
Alessio Furlanetto,24,0.05,Goalkeeper,Serie A,
Mario Gila,25,30.0,Centre-Back,Serie A,
Alessio Romagnoli,31,7.0,Centre-Back,Serie A,
Oliver Provstgaard,22,4.5,Centre-Back,Serie A,
Samuel Gigot,32,1.5,Centre-Back,Serie A,
Patric,32,1.5,Centre-Back,Serie A,
Nuno Tavares,26,15.0,Left-Back,Serie A,
Luca Pellegrini,27,3.5,Left-Back,Serie A,
Adam Marusic,33,3.0,Right-Back,Serie A,
Manuel Lazzari,32,2.5,Right-Back,Serie A,
Elseid Hysaj,32,1.5,Right-Back,Serie A,
Nicolò Rovella,24,28.0,Defensive Midfield,Serie A,
Reda Belahyane,21,8.5,Defensive Midfield,Serie A,
Danilo Cataldi,31,3.5,Defensive Midfield,Serie A,
Kenneth Taylor,23,23.0,Central Midfield,Serie A,
Fisayo Dele-Bashiru,25,6.5,Central Midfield,Serie A,
Toma Bašić,29,2.5,Central Midfield,Serie A,
Daniel Maldini,24,8.0,Attacking Midfield,Serie A,
Adrian Przyborek,19,7.0,Attacking Midfield,Serie A,
Mattia Zaccagni,30,15.0,Left Winger,Serie A,
Gustav Isaksen,24,17.0,Right Winger,Serie A,
Tijjani Noslin,26,6.5,Right Winger,Serie A,
Matteo Cancellieri,24,5.5,Right Winger,Serie A,
Pedro,38,1.0,Right Winger,Serie A,
Boulaye Dia,29,10.0,Centre-Forward,Serie A,
Petar Ratkov,22,7.0,Centre-Forward,Serie A,
Arijanet Murić,27,7.5,Goalkeeper,Serie A,
Stefano Turati,24,3.0,Goalkeeper,Serie A,
Gioele Zacchi,22,0.6,Goalkeeper,Serie A,
Giacomo Satalino,26,0.4,Goalkeeper,Serie A,
Tarik Muharemović,23,14.0,Centre-Back,Serie A,
Jay Idzes,25,10.0,Centre-Back,Serie A,
Fali Candé,28,3.0,Centre-Back,Serie A,
Filippo Romagna,28,0.8,Centre-Back,Serie A,
Pedro Felipe,21,0.7,Centre-Back,Serie A,
Josh Doig,23,5.0,Left-Back,Serie A,
Ulisses Garcia,30,3.0,Left-Back,Serie A,
Edoardo Pieragnolo,23,2.0,Left-Back,Serie A,
Sebastian Walukiewicz,25,4.5,Right-Back,Serie A,
Woyo Coulibaly,26,2.0,Right-Back,Serie A,
Daniel Boloca,27,5.0,Defensive Midfield,Serie A,
Luca Lipani,20,4.5,Defensive Midfield,Serie A,
Nemanja Matić,37,1.8,Defensive Midfield,Serie A,
Ismaël Koné,23,14.0,Central Midfield,Serie A,
Kristian Thorstvedt,27,10.0,Central Midfield,Serie A,
Aster Vranckx,23,7.0,Central Midfield,Serie A,
Edoardo Iannoni,24,0.8,Central Midfield,Serie A,
Cristian Volpato,22,10.0,Attacking Midfield,Serie A,
Darryl Bakola,18,4.0,Attacking Midfield,Serie A,
Armand Laurienté,27,14.0,Left Winger,Serie A,
Alieu Fadera,24,4.5,Left Winger,Serie A,
Domenico Berardi,31,7.5,Right Winger,Serie A,
Andrea Pinamonti,26,15.0,Centre-Forward,Serie A,
M'Bala Nzola,29,6.0,Centre-Forward,Serie A,
Luca Moro,25,2.0,Centre-Forward,Serie A,
Zion Suzuki,23,20.0,Goalkeeper,Serie A,
Edoardo Corvi,24,0.7,Goalkeeper,Serie A,
Filippo Rinaldi,23,0.3,Goalkeeper,Serie A,
Alessandro Circati,22,8.0,Centre-Back,Serie A,
Abdoulaye Ndiaye,23,6.5,Centre-Back,Serie A,
Mariano Troilo,22,6.0,Centre-Back,Serie A,
Lautaro Valenti,27,1.5,Centre-Back,Serie A,
Emanuele Valeri,27,3.0,Left-Back,Serie A,
Franco Carboni,22,0.9,Left-Back,Serie A,
Sascha Britschgi,19,7.0,Right-Back,Serie A,
Enrico Delprato,26,6.0,Right-Back,Serie A,
Mandela Keita,23,12.0,Defensive Midfield,Serie A,
Nahuel Estévez,30,1.5,Defensive Midfield,Serie A,
Adrián Bernabé,24,15.0,Central Midfield,Serie A,
Oliver Sørensen,24,7.5,Central Midfield,Serie A,
Hans Nicolussi Caviglia,25,7.0,Central Midfield,Serie A,
Christian Ordóñez,21,6.5,Central Midfield,Serie A,
Benja Cremaschi,21,4.5,Central Midfield,Serie A,
Gaetano Oristanio,23,6.0,Attacking Midfield,Serie A,
Jacob Ondrejka,23,8.0,Left Winger,Serie A,
Gabriel Strefezza,28,7.0,Right Winger,Serie A,
Pontus Almqvist,26,2.0,Right Winger,Serie A,
Mateo Pellegrino,24,10.0,Centre-Forward,Serie A,
Matija Frigan,23,7.5,Centre-Forward,Serie A,
Nesta Elphege,25,0.5,Centre-Forward,Serie A,
Maduka Okoye,26,8.0,Goalkeeper,Serie A,
Răzvan Sava,23,2.5,Goalkeeper,Serie A,
Alessandro Nunziante,19,1.8,Goalkeeper,Serie A,
Daniele Padelli,40,0.15,Goalkeeper,Serie A,
Oumar Solet,26,20.0,Centre-Back,Serie A,
Thomas Kristensen,24,9.0,Centre-Back,Serie A,
Nicolò Bertola,22,6.0,Centre-Back,Serie A,
Branimir Mlacic,19,4.0,Centre-Back,Serie A,
Christian Kabasele,35,0.8,Centre-Back,Serie A,
Jordan Zemura,26,4.0,Left-Back,Serie A,
Hassane Kamara,32,3.0,Left-Back,Serie A,
Alessandro Zanoli,25,5.0,Right-Back,Serie A,
Kingsley Ehizibue,30,2.0,Right-Back,Serie A,
Jesper Karlström,30,4.0,Defensive Midfield,Serie A,
Abdoulaye Camara,17,1.5,Defensive Midfield,Serie A,
Arthur Atta,23,15.0,Central Midfield,Serie A,
Lennon Miller,19,8.0,Central Midfield,Serie A,
Jurgen Ekkelenkamp,25,7.0,Central Midfield,Serie A,
Jakub Piotrowski,28,4.5,Central Midfield,Serie A,
Oier Zarraga,27,1.8,Central Midfield,Serie A,
Juan Arizala,20,1.0,Left Midfield,Serie A,
Nicolò Zaniolo,26,13.0,Attacking Midfield,Serie A,
Idrissa Gueye,19,4.0,Centre-Forward,Serie A,
Keinan Davis,28,4.0,Centre-Forward,Serie A,
Adam Buksa,29,4.0,Centre-Forward,Serie A,
Vakoun Bayo,29,3.5,Centre-Forward,Serie A,
Franco Israel,25,3.8,Goalkeeper,Serie A,
Alberto Paleari,33,1.0,Goalkeeper,Serie A,
Lapo Siviero,19,0.3,Goalkeeper,Serie A,
Saúl Coco,27,9.0,Centre-Back,Serie A,
Luca Marianucci,21,7.5,Centre-Back,Serie A,
Ardian Ismajli,29,6.0,Centre-Back,Serie A,
Guillermo Maripán,31,4.0,Centre-Back,Serie A,
Enzo Ebosse,27,1.5,Centre-Back,Serie A,
Saba Sazonov,24,1.3,Centre-Back,Serie A,
Niels Nkounkou,25,3.5,Left-Back,Serie A,
Rafa Obrador,22,2.0,Left-Back,Serie A,
Cristiano Biraghi,33,1.4,Left-Back,Serie A,
Marcus Pedersen,25,3.5,Right-Back,Serie A,
Matteo Prati,22,6.0,Defensive Midfield,Serie A,
Adrien Tamèze,32,2.0,Defensive Midfield,Serie A,
Cesare Casadei,23,14.0,Central Midfield,Serie A,
Ivan Ilić,24,10.0,Central Midfield,Serie A,
Gvidas Gineitis,21,5.5,Central Midfield,Serie A,
Emirhan İlkhan,21,1.5,Central Midfield,Serie A,
Valentino Lazaro,29,4.0,Right Midfield,Serie A,
Nikola Vlašić,28,9.0,Attacking Midfield,Serie A,
Tino Anjorin,24,5.0,Attacking Midfield,Serie A,
Sergiu Perciun,19,1.5,Attacking Midfield,Serie A,
Alieu Njie,20,2.5,Left Winger,Serie A,
Zakaria Aboukhlal,26,9.0,Right Winger,Serie A,
Zanos Savva,20,0.2,Right Winger,Serie A,
Ché Adams,29,8.5,Centre-Forward,Serie A,
Giovanni Simeone,30,5.0,Centre-Forward,Serie A,
Sandro Kulenović,26,4.0,Centre-Forward,Serie A,
Duván Zapata,34,3.0,Centre-Forward,Serie A,
Justin Bijlow,28,4.0,Goalkeeper,Serie A,
Nicola Leali,33,1.5,Goalkeeper,Serie A,
Benjamin Siegrist,34,0.6,Goalkeeper,Serie A,
Ernestas Lysionok,19,0.2,Goalkeeper,Serie A,
Daniele Sommariva,28,0.1,Goalkeeper,Serie A,
Johan Vásquez,27,13.0,Centre-Back,Serie A,
Leo Østigård,26,10.0,Centre-Back,Serie A,
Nils Zätterström,20,3.0,Centre-Back,Serie A,
Alessandro Marcandalli,23,2.5,Centre-Back,Serie A,
Sebastian Otoa,21,2.5,Centre-Back,Serie A,
Aarón Martín,28,7.0,Left-Back,Serie A,
Brooke Norton-Cuffy,22,16.0,Right-Back,Serie A,
Stefano Sabelli,33,1.4,Right-Back,Serie A,
Morten Frendrup,24,18.0,Defensive Midfield,Serie A,
Jean Onana,26,1.3,Defensive Midfield,Serie A,
Patrizio Masini,25,6.0,Central Midfield,Serie A,
Mikael Egill Ellertsson,24,3.5,Central Midfield,Serie A,
Amorim,20,2.5,Central Midfield,Serie A,
Ruslan Malinovskyi,32,2.5,Central Midfield,Serie A,
Tommaso Baldanzi,22,10.0,Attacking Midfield,Serie A,
Maxwel Cornet,29,5.0,Left Winger,Serie A,
Junior Messias,34,1.2,Right Winger,Serie A,
Vitinha,26,8.0,Centre-Forward,Serie A,
Jeff Ekhator,19,7.0,Centre-Forward,Serie A,
Lorenzo Colombo,24,6.0,Centre-Forward,Serie A,
Caleb Ekuban,31,1.3,Centre-Forward,Serie A,
Elia Caprile,24,15.0,Goalkeeper,Serie A,
Alen Sherri,28,1.0,Goalkeeper,Serie A,
Giuseppe Ciocci,24,0.1,Goalkeeper,Serie A,
Alberto Dossena,27,7.0,Centre-Back,Serie A,
Juan Rodríguez,20,5.0,Centre-Back,Serie A,
Adam Obert,23,4.0,Centre-Back,Serie A,
Yerry Mina,31,3.0,Centre-Back,Serie A,
Zé Pedro,28,2.5,Centre-Back,Serie A,
Riyad Idrissi,20,2.5,Left-Back,Serie A,
Marco Palestra,21,25.0,Right-Back,Serie A,
Gabriele Zappa,26,4.0,Right-Back,Serie A,
Othniël Raterink,19,0.45,Right-Back,Serie A,
Ibrahim Sulemana,22,6.0,Defensive Midfield,Serie A,
Michel Adopo,25,6.0,Central Midfield,Serie A,
Michael Folorunsho,28,6.0,Central Midfield,Serie A,
Joseph Liteta,20,2.0,Central Midfield,Serie A,
Alessandro Deiola,30,1.6,Central Midfield,Serie A,
Luca Mazzitelli,30,1.4,Central Midfield,Serie A,
Gianluca Gaetano,25,4.0,Attacking Midfield,Serie A,
Mattia Felici,24,2.8,Left Winger,Serie A,
Agustín Albarracín,20,1.8,Left Winger,Serie A,
Sebastiano Esposito,23,9.0,Second Striker,Serie A,
Semih Kılıçsoy,20,10.0,Centre-Forward,Serie A,
Gennaro Borrelli,26,3.0,Centre-Forward,Serie A,
Andrea Belotti,32,1.5,Centre-Forward,Serie A,
Yael Trepy,19,1.5,Centre-Forward,Serie A,
Leonardo Pavoletti,37,0.7,Centre-Forward,Serie A,
Adrian Semper,28,3.5,Goalkeeper,Serie A,
Simone Scuffet,29,1.0,Goalkeeper,Serie A,
Nícolas,37,0.1,Goalkeeper,Serie A,
Simone Canestrelli,25,7.0,Centre-Back,Serie A,
Rosen Bozhinov,21,2.5,Centre-Back,Serie A,
Francesco Coppola,20,2.5,Centre-Back,Serie A,
Antonio Caracciolo,35,0.8,Centre-Back,Serie A,
Raúl Albiol,40,0.8,Centre-Back,Serie A,
Arturo Calabresi,29,0.7,Centre-Back,Serie A,
Daniel Denoon,22,0.5,Centre-Back,Serie A,
Marius Marin,27,3.0,Defensive Midfield,Serie A,
Malthe Højholt,24,1.2,Defensive Midfield,Serie A,
Felipe Loyola,25,8.0,Central Midfield,Serie A,
Ebenezer Akinsanmiro,21,6.5,Central Midfield,Serie A,
İsak Vural,19,5.0,Central Midfield,Serie A,
Michel Aebischer,29,4.5,Central Midfield,Serie A,
Gabriele Piccinini,24,4.0,Central Midfield,Serie A,
Idrissa Touré,27,6.0,Right Midfield,Serie A,
Juan Cuadrado,37,1.0,Right Midfield,Serie A,
Samuel Iling-Junior,22,10.0,Left Midfield,Serie A,
Samuele Angori,22,5.0,Left Midfield,Serie A,
Lorran,19,7.5,Attacking Midfield,Serie A,
Matteo Tramoni,26,6.0,Attacking Midfield,Serie A,
Calvin Stengs,27,6.0,Attacking Midfield,Serie A,
Mehdi Léris,27,2.0,Right Winger,Serie A,
Rafiu Durosinmi,23,7.5,Centre-Forward,Serie A,
Henrik Meister,22,5.0,Centre-Forward,Serie A,
Filip Stojilkovic,26,3.0,Centre-Forward,Serie A,
Stefano Moreo,32,1.5,Centre-Forward,Serie A,
Wladimiro Falcone,30,3.5,Goalkeeper,Serie A,
Christian Früchtl,26,1.0,Goalkeeper,Serie A,
Jasper Samooja,22,0.075,Goalkeeper,Serie A,
Tiago Gabriel,21,15.0,Centre-Back,Serie A,
Jamil Siebert,23,3.8,Centre-Back,Serie A,
Gaspar,28,3.5,Centre-Back,Serie A,
Gaby Jean,26,2.0,Centre-Back,Serie A,
Matías Pérez,20,0.5,Centre-Back,Serie A,
Antonino Gallo,26,4.0,Left-Back,Serie A,
Corrie Ndaba,26,0.9,Left-Back,Serie A,
Danilo Veiga,23,2.0,Right-Back,Serie A,
Lassana Coulibaly Midfielder,29,2.5,Unknown,Serie A,
Ylber Ramadani,29,1.8,Defensive Midfield,Serie A,
Sadik Fofana,22,0.6,Defensive Midfield,Serie A,
Oumar Ngom,22,0.6,Defensive Midfield,Serie A,
Medon Berisha,22,6.0,Central Midfield,Serie A,
Thórir Jóhann Helgason,25,2.3,Central Midfield,Serie A,
Álex Sala,24,1.5,Central Midfield,Serie A,
Omri Gandelman,25,5.0,Attacking Midfield,Serie A,
Filip Marchwinski,24,2.5,Attacking Midfield,Serie A,
Riccardo Sottil,26,3.5,Left Winger,Serie A,
Lameck Banda,25,3.0,Left Winger,Serie A,
Santiago Pierotti,24,3.5,Right Winger,Serie A,
Konan N’Dri,25,1.5,Right Winger,Serie A,
Francesco Camarda,18,15.0,Centre-Forward,Serie A,
Nikola Stulic,24,4.5,Centre-Forward,Serie A,
Walid Cheddira,28,2.3,Centre-Forward,Serie A,
Lorenzo Montipò,30,2.0,Goalkeeper,Serie A,
Simone Perilli,31,0.4,Goalkeeper,Serie A,
Giacomo Toniolo,21,0.075,Goalkeeper,Serie A,
Arthur Borghi,18,0.05,Goalkeeper,Serie A,
Victor Nelsson,27,7.5,Centre-Back,Serie A,
Armel Bella-Kotchap,24,7.5,Centre-Back,Serie A,
Nicolás Valentini,24,5.0,Centre-Back,Serie A,
Tobias Slotsager,20,2.0,Centre-Back,Serie A,
Andrias Edmundsson,25,0.8,Centre-Back,Serie A,
Martin Frese,28,2.5,Left-Back,Serie A,
Domagoj Bradarić,26,2.5,Left-Back,Serie A,
Rafik Belghali,23,7.0,Right-Back,Serie A,
Pol Lirola,28,2.0,Right-Back,Serie A,
Fallou Cham,20,1.0,Right-Back,Serie A,
Daniel Oyegoke,23,0.5,Right-Back,Serie A,
Moatasem Al-Musrati,29,7.0,Defensive Midfield,Serie A,
Cheikh Niasse,26,2.5,Defensive Midfield,Serie A,
Sandi Lovrić,27,6.0,Central Midfield,Serie A,
Suat Serdar,28,4.5,Central Midfield,Serie A,
Antoine Bernede,26,3.5,Central Midfield,Serie A,
Abdou Harroui,28,1.8,Central Midfield,Serie A,
Roberto Gagliardini,31,1.4,Central Midfield,Serie A,
Jean-Daniel Akpa Akpro,33,0.5,Central Midfield,Serie A,
Tomas Suslov,23,5.0,Attacking Midfield,Serie A,
Gift Orban,23,8.5,Centre-Forward,Serie A,
Amin Sarr,25,3.0,Centre-Forward,Serie A,
Kieron Bowie,23,2.7,Centre-Forward,Serie A,
Daniel Mosquera,26,2.5,Centre-Forward,Serie A,
Isaac,21,0.7,Centre-Forward,Serie A,
Junior Ajayi,21,0.3,Centre-Forward,Serie A,
Emil Audero,29,3.2,Goalkeeper,Serie A,
Marco Silvestri,35,0.5,Goalkeeper,Serie A,
Lapo Nava,22,0.1,Goalkeeper,Serie A,
Mikayil Faye,21,6.0,Centre-Back,Serie A,
Filippo Terracciano,23,4.5,Centre-Back,Serie A,
Sebastiano Luperto,29,4.0,Centre-Back,Serie A,
Federico Baschirotto,29,4.0,Centre-Back,Serie A,
Matteo Bianchetti,32,0.8,Centre-Back,Serie A,
Francesco Folino,24,0.7,Centre-Back,Serie A,
Federico Ceccherini,33,0.4,Centre-Back,Serie A,
Giuseppe Pezzella,28,2.5,Left-Back,Serie A,
Tommaso Barbieri,23,4.0,Right-Back,Serie A,
Romano Floriani Mussolini,23,2.5,Right-Back,Serie A,
Alberto Grassi,31,1.8,Defensive Midfield,Serie A,
Warren Bondo,22,8.5,Central Midfield,Serie A,
Martín Payero,27,6.0,Central Midfield,Serie A,
Jari Vandeputte,30,4.0,Central Midfield,Serie A,
Morten Thorsby,29,3.0,Central Midfield,Serie A,
Michele Collocolo,26,3.0,Central Midfield,Serie A,
Youssef Maleh,27,1.0,Central Midfield,Serie A,
Alessio Zerbin,27,2.2,Right Midfield,Serie A,
Faris Moumbagna,25,5.0,Centre-Forward,Serie A,
Antonio Sanabria,30,2.5,Centre-Forward,Serie A,
Federico Bonazzoli,28,2.2,Centre-Forward,Serie A,
David Okereke,28,1.5,Centre-Forward,Serie A,
Milan Djuric,35,1.0,Centre-Forward,Serie A,
Jamie Vardy,39,1.0,Centre-Forward,Serie A,
Jonas Urbig,22,12.0,Goalkeeper,Bundesliga,
Manuel Neuer,39,4.0,Goalkeeper,Bundesliga,
Sven Ulreich,37,0.5,Goalkeeper,Bundesliga,
Leon Klanac,19,0.15,Goalkeeper,Bundesliga,
Dayot Upamecano,27,70.0,Centre-Back,Bundesliga,
Jonathan Tah,30,30.0,Centre-Back,Bundesliga,
Min-jae Kim,29,25.0,Centre-Back,Bundesliga,
Hiroki Ito,26,18.0,Centre-Back,Bundesliga,
Alphonso Davies,25,50.0,Left-Back,Bundesliga,
Raphaël Guerreiro,32,6.0,Left-Back,Bundesliga,
Konrad Laimer,28,32.0,Right-Back,Bundesliga,
Josip Stanisic,25,32.0,Right-Back,Bundesliga,
Aleksandar Pavlovic,21,65.0,Defensive Midfield,Bundesliga,
Joshua Kimmich,31,40.0,Defensive Midfield,Bundesliga,
Tom Bischof,20,40.0,Central Midfield,Bundesliga,
Leon Goretzka,31,15.0,Central Midfield,Bundesliga,
Bara Sapoko Ndiaye,18,0.3,Central Midfield,Bundesliga,
Jamal Musiala,23,130.0,Attacking Midfield,Bundesliga,
Lennart Karl,18,60.0,Attacking Midfield,Bundesliga,
Luis Díaz,29,70.0,Left Winger,Bundesliga,
Michael Olise,24,130.0,Right Winger,Bundesliga,
Serge Gnabry,30,20.0,Second Striker,Bundesliga,
Harry Kane,32,65.0,Centre-Forward,Bundesliga,
Nicolas Jackson,24,45.0,Centre-Forward,Bundesliga,
Gregor Kobel,28,40.0,Goalkeeper,Bundesliga,
Alexander Meyer,34,0.8,Goalkeeper,Bundesliga,
Patrick Drewes,33,0.4,Goalkeeper,Bundesliga,
Silas Ostrzinski,22,0.2,Goalkeeper,Bundesliga,
Nico Schlotterbeck,26,55.0,Centre-Back,Bundesliga,
Waldemar Anton,29,18.0,Centre-Back,Bundesliga,
Ramy Bensebaini,30,7.0,Centre-Back,Bundesliga,
Emre Can,32,6.0,Centre-Back,Bundesliga,
Niklas Süle,30,5.0,Centre-Back,Bundesliga,
Filippo Mane,21,2.5,Centre-Back,Bundesliga,
Luca Reggiani,18,1.0,Centre-Back,Bundesliga,
Daniel Svensson,24,22.0,Left-Back,Bundesliga,
Almugera Kabar,19,3.0,Left-Back,Bundesliga,
Julian Ryerson,28,20.0,Right-Back,Bundesliga,
Salih Özcan,28,3.5,Defensive Midfield,Bundesliga,
Felix Nmecha,25,45.0,Central Midfield,Bundesliga,
Jobe Bellingham,20,25.0,Central Midfield,Bundesliga,
Carney Chukwuemeka,22,25.0,Central Midfield,Bundesliga,
Marcel Sabitzer,31,7.0,Central Midfield,Bundesliga,
Yan Couto,23,20.0,Right Midfield,Bundesliga,
Julian Brandt,29,20.0,Attacking Midfield,Bundesliga,
Karim Adeyemi,24,60.0,Right Winger,Bundesliga,
Serhou Guirassy,30,40.0,Centre-Forward,Bundesliga,
Maximilian Beier,23,30.0,Centre-Forward,Bundesliga,
Fábio Silva,23,28.0,Centre-Forward,Bundesliga,
Maarten Vandevoordt,24,8.0,Goalkeeper,Bundesliga,
Péter Gulácsi,35,2.0,Goalkeeper,Bundesliga,
Leopold Zingerle,31,0.4,Goalkeeper,Bundesliga,
Castello Lukeba,23,45.0,Centre-Back,Bundesliga,
El Chadaille Bitshiabu,20,15.0,Centre-Back,Bundesliga,
Willi Orbán,33,6.0,Centre-Back,Bundesliga,
Lukas Klostermann,29,3.5,Centre-Back,Bundesliga,
Jonathan Norbye,18,0.3,Centre-Back,Bundesliga,
David Raum,27,20.0,Left-Back,Bundesliga,
Max Finkgräfe,21,3.0,Left-Back,Bundesliga,
Ridle Baku,27,12.0,Right-Back,Bundesliga,
Benjamin Henrichs,29,12.0,Right-Back,Bundesliga,
Kosta Nedeljkovic,20,8.0,Right-Back,Bundesliga,
Nicolas Seiwald,24,18.0,Defensive Midfield,Bundesliga,
Benno Kaltefleiter,18,,Defensive Midfield,Bundesliga,
Assan Ouédraogo,19,28.0,Central Midfield,Bundesliga,
Ezechiel Banzuzi,21,18.0,Central Midfield,Bundesliga,
Xaver Schlager,28,10.0,Central Midfield,Bundesliga,
Brajan Gruda,21,28.0,Attacking Midfield,Bundesliga,
Christoph Baumgartner,26,20.0,Attacking Midfield,Bundesliga,
Andrija Maksimovic,18,15.0,Attacking Midfield,Bundesliga,
Viggo Gebel,18,0.35,Attacking Midfield,Bundesliga,
Yan Diomande,19,45.0,Left Winger,Bundesliga,
Antonio Nusa,20,32.0,Left Winger,Bundesliga,
Tidiam Gomis,19,3.0,Left Winger,Bundesliga,
Suleman Sani,19,1.2,Left Winger,Bundesliga,
Ayodele Thomas,18,0.65,Left Winger,Bundesliga,
Johan Bakayoko,22,25.0,Right Winger,Bundesliga,
Rômulo,24,30.0,Centre-Forward,Bundesliga,
Conrad Harder,20,24.0,Centre-Forward,Bundesliga,
Samba Konaté,17,1.0,Centre-Forward,Bundesliga,
Mark Flekken,32,8.0,Goalkeeper,Bundesliga,
Jonas Omlin,32,1.5,Goalkeeper,Bundesliga,
Janis Blaswich,34,0.7,Goalkeeper,Bundesliga,
Niklas Lomb,32,0.25,Goalkeeper,Bundesliga,
Jarell Quansah,23,40.0,Centre-Back,Bundesliga,
Edmond Tapsoba,27,35.0,Centre-Back,Bundesliga,
Loïc Badé,25,28.0,Centre-Back,Bundesliga,
Axel Tape,18,8.0,Centre-Back,Bundesliga,
Tim Oermann,22,4.0,Centre-Back,Bundesliga,
Issa Traoré,18,0.8,Centre-Back,Bundesliga,
Alejandro Grimaldo,30,24.0,Left-Back,Bundesliga,
Arthur,22,7.0,Right-Back,Bundesliga,
Lucas Vázquez,34,2.5,Right-Back,Bundesliga,
Equi Fernández,23,25.0,Defensive Midfield,Bundesliga,
Robert Andrich,31,7.0,Defensive Midfield,Bundesliga,
Exequiel Palacios,27,30.0,Central Midfield,Bundesliga,
Aleix García,28,20.0,Central Midfield,Bundesliga,
Malik Tillman,23,35.0,Attacking Midfield,Bundesliga,
Ibrahim Maza,20,25.0,Attacking Midfield,Bundesliga,
Jonas Hofmann,33,2.0,Attacking Midfield,Bundesliga,
Eliesse Ben Seghir,21,24.0,Left Winger,Bundesliga,
Martin Terrier,29,12.0,Left Winger,Bundesliga,
Ernest Poku,22,20.0,Right Winger,Bundesliga,
Nathan Tella,26,15.0,Right Winger,Bundesliga,
Montrell Culbreath,18,1.0,Right Winger,Bundesliga,
Patrik Schick,30,25.0,Centre-Forward,Bundesliga,
Christian Kofane,19,22.0,Centre-Forward,Bundesliga,
Kauã Santos,22,7.0,Goalkeeper,Bundesliga,
Michael Zetterer,30,4.5,Goalkeeper,Bundesliga,
Jens Grahl,37,0.2,Goalkeeper,Bundesliga,
Amil Siljevic,19,,Goalkeeper,Bundesliga,
Arthur Theate,25,24.0,Centre-Back,Bundesliga,
Robin Koch,29,15.0,Centre-Back,Bundesliga,
Nnamdi Collins,22,15.0,Centre-Back,Bundesliga,
Aurèle Amenda,22,6.0,Centre-Back,Bundesliga,
Nathaniel Brown,22,35.0,Left-Back,Bundesliga,
Keita Kosugi,19,4.0,Left-Back,Bundesliga,
Rasmus Kristensen,28,14.0,Right-Back,Bundesliga,
Elias Baum,20,5.0,Right-Back,Bundesliga,
Timothy Chandler,35,0.35,Right-Back,Bundesliga,
Ellyes Skhiri,30,6.0,Defensive Midfield,Bundesliga,
Hugo Larsson,21,40.0,Central Midfield,Bundesliga,
