player_name,team,position,league,season,games,minutes,goals,assists,xG,xA,npg,npxG,shots,key_passes,xGChain,xGBuildup,goals_p90,assists_p90,xG_p90,xA_p90,npg_p90,npxG_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,goal_conversion,xG_overperf,xA_overperf
Joël Veltman,Brighton,D M S,Premier League,2020,28,2281,1,1,1.28,1.85,1,1.28,14,22,9.02,6.8,0.0395,0.0395,0.0503,0.0728,0.0395,0.0503,0.5524,0.868,0.356,0.2683,0.0714,-0.0109,-0.0334
Liam Cooper,Leeds,D,Premier League,2020,25,2189,1,0,2.09,0.0,1,2.09,15,0,7.38,7.38,0.0411,0.0,0.0861,0.0,0.0411,0.0861,0.6167,0.0,0.3034,0.3034,0.0667,-0.045,0.0
Rúben Dias,Manchester City,D,Premier League,2020,32,2848,1,0,1.95,0.11,1,1.95,14,3,16.68,16.56,0.0316,0.0,0.0617,0.0033,0.0316,0.0617,0.4424,0.0948,0.5272,0.5233,0.0714,-0.0301,-0.0033
Kean Bryan,Sheffield United,D S,Premier League,2020,13,1012,1,0,0.54,0.82,1,0.54,3,4,1.43,1.39,0.0889,0.0,0.0476,0.0729,0.0889,0.0476,0.2668,0.3557,0.127,0.1232,0.3333,0.0413,-0.0729
Bernd Leno,Arsenal,GK,Premier League,2020,35,3136,0,0,0.0,0.0,0,0.0,0,0,4.33,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242,0.1242,0.0,0.0,0.0
Andreas Christensen,Chelsea,D S,Premier League,2020,17,1375,0,0,0.13,0.25,0,0.13,3,6,7.44,7.28,0.0,0.0,0.0085,0.0164,0.0,0.0085,0.1964,0.3927,0.4871,0.4763,0.0,-0.0085,-0.0164
Matt Ritchie,Newcastle United,D M S,Premier League,2020,18,1360,0,2,0.33,2.49,0,0.33,11,24,5.13,4.38,0.0,0.1324,0.0218,0.1649,0.0,0.0218,0.7279,1.5882,0.3395,0.2901,0.0,-0.0218,-0.0326
James Milner,Liverpool,D M S,Premier League,2020,26,1037,0,1,0.36,0.79,0,0.36,12,13,5.69,4.89,0.0,0.0868,0.0309,0.0686,0.0,0.0309,1.0415,1.1283,0.4934,0.424,0.0,-0.0309,0.0182
Joel Ward,Crystal Palace,D S,Premier League,2020,26,2252,0,1,0.05,0.47,0,0.05,2,7,3.12,2.89,0.0,0.04,0.0021,0.0189,0.0,0.0021,0.0799,0.2798,0.1245,0.1155,0.0,-0.0021,0.0211
Aaron Cresswell,West Ham,D,Premier League,2020,36,3176,0,8,0.88,7.39,0,0.88,19,58,10.62,8.39,0.0,0.2267,0.025,0.2094,0.0,0.025,0.5384,1.6436,0.301,0.2378,0.0,-0.025,0.0173
David de Gea,Manchester United,GK,Premier League,2020,26,2298,0,0,0.0,0.0,0,0.0,0,0,2.11,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828,0.0828,0.0,0.0,0.0
Seamus Coleman,Everton,D M S,Premier League,2020,25,1612,0,3,0.89,1.51,0,0.89,12,19,5.5,4.08,0.0,0.1675,0.05,0.0842,0.0,0.05,0.67,1.0608,0.3073,0.2278,0.0,-0.05,0.0833
Nathaniel Clyne,Crystal Palace,D,Premier League,2020,13,1151,0,1,0.12,0.22,0,0.12,4,4,1.9,1.73,0.0,0.0782,0.0096,0.0174,0.0,0.0096,0.3128,0.3128,0.1483,0.1354,0.0,-0.0096,0.0608
Fernandinho,Manchester City,M S,Premier League,2020,21,1170,0,2,0.82,1.54,0,0.82,14,14,8.78,7.83,0.0,0.1538,0.0627,0.1185,0.0,0.0627,1.0769,1.0769,0.6751,0.6024,0.0,-0.0627,0.0354
James McArthur,Crystal Palace,M S,Premier League,2020,18,1482,0,2,0.28,1.52,0,0.28,6,15,3.25,2.26,0.0,0.1215,0.0171,0.0923,0.0,0.0171,0.3644,0.9109,0.1971,0.1371,0.0,-0.0171,0.0291
