player_name,team,position,league,season,games,minutes,goals,assists,xG,xA,npg,npxG,shots,key_passes,xGChain,xGBuildup,goals_p90,assists_p90,xG_p90,xA_p90,npg_p90,npxG_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,goal_conversion,xG_overperf,xA_overperf
Gaetano Castrovilli,Fiorentina,M S,Serie A,2020,34,2365,5,3,3.17,2.26,5,3.17,32,17,11.66,7.34,0.1903,0.1142,0.1207,0.086,0.1903,0.1207,1.2178,0.6469,0.4437,0.2793,0.1562,0.0695,0.0282
Hakan Calhanoglu,AC Milan,M S,Serie A,2020,33,2641,4,9,4.76,8.86,3,4.0,84,97,15.45,9.75,0.1363,0.3067,0.1621,0.3018,0.1022,0.1362,2.8626,3.3056,0.5266,0.3324,0.0476,-0.0258,0.0049
Ivan Perisic,Inter,D F M S,Serie A,2020,32,1799,4,4,4.95,4.21,4,4.95,36,29,12.47,4.81,0.2001,0.2001,0.2475,0.2107,0.2001,0.2475,1.801,1.4508,0.6237,0.2405,0.1111,-0.0474,-0.0106
Leonardo Pavoletti,Cagliari,F S,Serie A,2020,33,1576,4,3,7.45,1.42,4,7.45,44,12,8.04,1.02,0.2284,0.1713,0.4254,0.0811,0.2284,0.4254,2.5127,0.6853,0.4591,0.0584,0.0909,-0.197,0.0902
Manuel Locatelli,Sassuolo,M S,Serie A,2020,34,2887,4,2,3.5,3.23,2,1.98,42,37,14.76,11.36,0.1247,0.0623,0.109,0.1007,0.0623,0.0616,1.3093,1.1534,0.4602,0.3541,0.0952,0.0157,-0.0384
Davide Zappacosta,Genoa,D S,Serie A,2020,25,2050,4,2,2.59,1.23,4,2.59,41,12,7.91,4.55,0.1756,0.0878,0.1137,0.0539,0.1756,0.1137,1.8,0.5268,0.3473,0.1999,0.0976,0.0619,0.0339
Paulo Dybala,Juventus,F S,Serie A,2020,20,1131,4,3,4.8,3.16,4,4.8,51,30,12.58,6.72,0.3183,0.2387,0.3819,0.2513,0.3183,0.3819,4.0584,2.3873,1.0009,0.5346,0.0784,-0.0635,-0.0126
Jasmin Kurtic,Parma Calcio 1913,M S,Serie A,2020,34,2757,4,0,3.84,2.58,4,3.84,35,23,9.86,5.95,0.1306,0.0,0.1254,0.0841,0.1306,0.1254,1.1425,0.7508,0.3218,0.1943,0.1143,0.0052,-0.0841
Andrea Petagna,Napoli,F S,Serie A,2020,26,944,4,3,4.3,3.22,4,4.3,24,26,8.3,1.93,0.3814,0.286,0.4098,0.307,0.3814,0.4098,2.2881,2.4788,0.791,0.1838,0.1667,-0.0284,-0.021
Diego Farias,Spezia,F S,Serie A,2020,29,1500,4,2,2.99,4.02,4,2.99,32,32,8.72,3.81,0.24,0.12,0.1792,0.2415,0.24,0.1792,1.92,1.92,0.523,0.2289,0.125,0.0608,-0.1215
Stefano Okaka,Udinese,F S,Serie A,2020,22,1494,4,1,4.29,0.64,4,4.29,24,9,4.71,1.43,0.241,0.0602,0.2586,0.0384,0.241,0.2586,1.4458,0.5422,0.2836,0.086,0.1667,-0.0176,0.0219
Kevin Lasagna,"Udinese,Verona",F M S,Serie A,2020,36,2372,4,1,11.37,3.27,4,11.37,72,25,15.33,1.67,0.1518,0.0379,0.4316,0.124,0.1518,0.4316,2.7319,0.9486,0.5815,0.0632,0.0556,-0.2798,-0.086
Adam Ounas,"Cagliari,Crotone",F M S,Serie A,2020,22,1531,4,3,3.42,4.26,4,3.42,31,28,9.25,2.68,0.2351,0.1764,0.2009,0.2503,0.2351,0.2009,1.8223,1.646,0.5438,0.1573,0.129,0.0342,-0.0739
Adrien Rabiot,Juventus,M S,Serie A,2020,34,2310,4,2,2.82,1.77,4,2.82,33,10,13.16,9.67,0.1558,0.0779,0.11,0.0691,0.1558,0.11,1.2857,0.3896,0.5126,0.3766,0.1212,0.0458,0.0088
Jeremie Boga,Sassuolo,M S,Serie A,2020,27,1785,4,2,4.48,1.15,4,4.48,32,11,7.51,2.89,0.2017,0.1008,0.2257,0.058,0.2017,0.2257,1.6134,0.5546,0.3784,0.1455,0.125,-0.0241,0.0429
Marco Faraoni,Verona,D S,Serie A,2020,34,2902,4,7,3.5,4.37,4,3.5,34,22,11.3,6.57,0.1241,0.2171,0.1085,0.1357,0.1241,0.1085,1.0544,0.6823,0.3505,0.2037,0.1176,0.0156,0.0814
Gianluca Mancini,Roma,D,Serie A,2020,33,2857,4,2,2.67,1.01,4,2.67,28,8,11.49,10.01,0.126,0.063,0.084,0.0319,0.126,0.084,0.882,0.252,0.3619,0.3153,0.1429,0.042,0.0311
Brahim Diaz,AC Milan,M S,Serie A,2020,27,1254,4,3,3.59,1.37,4,3.59,26,19,6.5,3.06,0.2871,0.2153,0.2578,0.0984,0.2871,0.2578,1.866,1.3636,0.4664,0.2196,0.1538,0.0293,0.1169
Charalampos Lykogiannis,Cagliari,D M S,Serie A,2020,31,2447,4,2,1.86,1.25,4,1.86,28,13,7.42,5.6,0.1471,0.0736,0.0683,0.0461,0.1471,0.0683,1.0298,0.4781,0.2729,0.2058,0.1429,0.0788,0.0275
Dejan Kulusevski,Juventus,D F M S,Serie A,2020,35,1917,4,3,3.33,6.33,4,3.33,34,52,16.38,8.57,0.1878,0.1408,0.1565,0.2974,0.1878,0.1565,1.5962,2.4413,0.7691,0.4023,0.1176,0.0312,-0.1565
Emmanuel Gyasi,Spezia,F S,Serie A,2020,37,2869,4,6,5.12,4.34,4,5.12,29,28,12.61,4.78,0.1255,0.1882,0.1605,0.1361,0.1255,0.1605,0.9097,0.8784,0.3957,0.1499,0.1379,-0.035,0.0521
Matteo Darmian,"Inter,Parma Calcio 1913",D M S,Serie A,2020,29,1364,3,3,1.59,1.01,3,1.59,9,12,4.92,3.02,0.1979,0.1979,0.1051,0.0667,0.1979,0.1051,0.5938,0.7918,0.3249,0.1991,0.3333,0.0928,0.1312
Christian Eriksen,Inter,M S,Serie A,2020,26,1401,3,0,1.18,2.39,3,1.18,29,30,8.25,6.64,0.1927,0.0,0.0759,0.1534,0.1927,0.0759,1.863,1.9272,0.5298,0.4262,0.1034,0.1169,-0.1534
Darko Lazovic,Verona,D M S,Serie A,2020,32,2504,3,6,3.15,5.4,3,3.15,33,34,13.29,7.5,0.1078,0.2157,0.1132,0.1941,0.1078,0.1132,1.1861,1.222,0.4777,0.2696,0.0909,-0.0054,0.0215
Giacomo Bonaventura,Fiorentina,M S,Serie A,2020,34,2288,3,2,2.93,3.22,3,2.93,44,24,8.72,4.81,0.118,0.0787,0.1154,0.1268,0.118,0.1154,1.7308,0.9441,0.3429,0.1893,0.0682,0.0026,-0.0481
Milan Skriniar,Inter,D S,Serie A,2020,32,2782,3,0,2.33,0.59,3,2.33,15,9,14.71,14.53,0.0971,0.0,0.0754,0.0191,0.0971,0.0754,0.4853,0.2912,0.476,0.4701,0.2,0.0217,-0.0191
Nicolò Barella,Inter,M S,Serie A,2020,36,2912,3,7,2.44,5.98,3,2.44,36,47,21.88,16.56,0.0927,0.2163,0.0755,0.1848,0.0927,0.0755,1.1126,1.4526,0.6762,0.5119,0.0833,0.0172,0.0316
Gregoire Defrel,Sassuolo,F M S,Serie A,2020,28,1340,3,3,2.32,1.01,3,2.32,22,19,6.3,3.73,0.2015,0.2015,0.1559,0.0679,0.2015,0.1559,1.4776,1.2761,0.4234,0.2504,0.1364,0.0456,0.1336
Roberto Gagliardini,Inter,M S,Serie A,2020,28,1225,3,2,1.21,1.89,3,1.21,17,8,7.05,4.39,0.2204,0.1469,0.0889,0.139,0.2204,0.0889,1.249,0.5878,0.5182,0.3226,0.1765,0.1315,0.0079
Sasa Lukic,Torino,M S,Serie A,2020,32,2116,3,0,1.95,1.27,3,1.95,19,23,5.52,3.24,0.1276,0.0,0.0829,0.0538,0.1276,0.0829,0.8081,0.9783,0.2348,0.1377,0.1579,0.0447,-0.0538
Valerio Verre,Sampdoria,M S,Serie A,2020,27,994,3,3,2.11,1.85,3,2.11,24,19,6.06,2.7,0.2716,0.2716,0.191,0.1671,0.2716,0.191,2.173,1.7203,0.5485,0.2446,0.125,0.0806,0.1045
Marko Pjaca,Genoa,F M S,Serie A,2020,35,1409,3,2,2.82,2.11,3,2.82,29,14,6.32,2.09,0.1916,0.1278,0.1801,0.1348,0.1916,0.1801,1.8524,0.8943,0.4035,0.1335,0.1034,0.0115,-0.0071
Gaetano Letizia,Benevento,D S,Serie A,2020,24,1567,3,1,0.42,1.2,3,0.42,13,14,3.66,2.82,0.1723,0.0574,0.0241,0.069,0.1723,0.0241,0.7466,0.8041,0.2105,0.1621,0.2308,0.1482,-0.0116
Martin Erlic,Spezia,D S,Serie A,2020,27,1786,3,1,1.45,0.49,3,1.45,9,1,2.89,2.88,0.1512,0.0504,0.073,0.0245,0.1512,0.073,0.4535,0.0504,0.1459,0.1453,0.3333,0.0782,0.0259
Fabián,Napoli,M S,Serie A,2020,33,2577,3,1,2.55,1.83,3,2.55,43,40,16.61,13.18,0.1048,0.0349,0.0891,0.0638,0.1048,0.0891,1.5017,1.397,0.5801,0.4603,0.0698,0.0157,-0.0289
Rolando Mandragora,"Torino,Udinese",M S,Serie A,2020,27,1917,3,1,3.45,0.6,3,3.45,35,19,7.99,4.57,0.1408,0.0469,0.1618,0.0281,0.1408,0.1618,1.6432,0.892,0.375,0.2143,0.0857,-0.0209,0.0189
Tolgay Arslan,Udinese,M S,Serie A,2020,30,1861,3,0,0.91,0.54,3,0.91,22,9,5.48,4.29,0.1451,0.0,0.0441,0.026,0.1451,0.0441,1.0639,0.4352,0.2652,0.2074,0.1364,0.101,-0.026
Nikola Milenkovic,Fiorentina,D,Serie A,2020,34,3038,3,1,3.94,0.65,3,3.94,22,7,8.42,6.18,0.0889,0.0296,0.1167,0.0193,0.0889,0.1167,0.6517,0.2074,0.2494,0.1831,0.1364,-0.0279,0.0103
Giovanni Di Lorenzo,Napoli,D,Serie A,2020,36,3240,3,6,4.02,5.7,3,4.02,28,49,18.73,14.58,0.0833,0.1667,0.1116,0.1584,0.0833,0.1116,0.7778,1.3611,0.5201,0.4051,0.1071,-0.0282,0.0082
Morten Thorsby,Sampdoria,M S,Serie A,2020,33,2647,3,1,2.76,1.02,3,2.76,22,18,6.6,4.01,0.102,0.034,0.094,0.0347,0.102,0.094,0.748,0.612,0.2244,0.1362,0.1364,0.008,-0.0007
Razvan Marin,Cagliari,M S,Serie A,2020,37,2995,3,6,1.33,3.84,3,1.33,27,68,9.82,7.31,0.0902,0.1803,0.04,0.1154,0.0902,0.04,0.8114,2.0434,0.295,0.2198,0.1111,0.0502,0.0649
Giulio Maggiore,Spezia,M S,Serie A,2020,33,2231,3,1,5.06,1.89,3,5.06,40,13,9.44,4.31,0.121,0.0403,0.204,0.0761,0.121,0.204,1.6136,0.5244,0.3806,0.1738,0.075,-0.0829,-0.0357
Luca Caldirola,Benevento,D S,Serie A,2020,25,1560,2,0,0.53,0.16,2,0.53,7,6,2.15,2.04,0.1154,0.0,0.0307,0.0091,0.1154,0.0307,0.4038,0.3462,0.124,0.1175,0.2857,0.0847,-0.0091
Franck Ribéry,Fiorentina,F M S,Serie A,2020,29,2195,2,6,2.86,5.52,2,2.86,21,35,12.21,5.99,0.082,0.246,0.1173,0.2264,0.082,0.1173,0.861,1.4351,0.5006,0.2457,0.0952,-0.0353,0.0196
Albin Ekdal,Sampdoria,M S,Serie A,2020,32,2301,2,1,0.86,0.97,2,0.86,14,11,4.92,3.85,0.0782,0.0391,0.0336,0.038,0.0782,0.0336,0.5476,0.4302,0.1925,0.1508,0.1429,0.0446,0.0012
Aaron Ramsey,Juventus,M S,Serie A,2020,22,1105,2,4,4.65,3.78,2,4.65,24,31,12.46,4.78,0.1629,0.3258,0.3788,0.3082,0.1629,0.3788,1.9548,2.5249,1.0146,0.3896,0.0833,-0.2159,0.0176
Juan Cuadrado,Juventus,D M S,Serie A,2020,30,2185,2,10,2.45,10.0,1,1.69,19,60,17.96,13.35,0.0824,0.4119,0.1009,0.4117,0.0412,0.0696,0.7826,2.4714,0.74,0.55,0.1053,-0.0186,0.0002
Armando Izzo,Torino,D S,Serie A,2020,25,2025,2,0,0.83,0.17,2,0.83,14,3,4.84,4.58,0.0889,0.0,0.0369,0.0077,0.0889,0.0369,0.6222,0.1333,0.215,0.2035,0.1429,0.052,-0.0077
Miguel Veloso,Verona,M S,Serie A,2020,21,1312,2,2,1.78,0.63,0,0.26,12,11,5.07,4.51,0.1372,0.1372,0.1223,0.043,0.0,0.0179,0.8232,0.7546,0.3479,0.3093,0.1667,0.0149,0.0942
Lorenzo De Silvestri,Bologna,D S,Serie A,2020,29,2160,2,0,2.06,0.74,2,2.06,11,13,6.32,5.46,0.0833,0.0,0.0858,0.0309,0.0833,0.0858,0.4583,0.5417,0.2632,0.2277,0.1818,-0.0024,-0.0309
Leonardo Bonucci,Juventus,D S,Serie A,2020,26,2037,2,0,3.65,0.87,2,3.65,16,3,8.38,8.04,0.0884,0.0,0.1611,0.0384,0.0884,0.1611,0.7069,0.1325,0.3702,0.3551,0.125,-0.0727,-0.0384
Alex Sandro,Juventus,D S,Serie A,2020,26,1857,2,1,1.78,2.1,2,1.78,13,18,13.93,11.55,0.0969,0.0485,0.0862,0.1019,0.0969,0.0862,0.63,0.8724,0.675,0.5598,0.1538,0.0108,-0.0535
Vlad Chiriches,Sassuolo,D S,Serie A,2020,24,1859,2,1,0.98,0.44,2,0.98,12,8,7.56,7.19,0.0968,0.0484,0.0474,0.0213,0.0968,0.0474,0.581,0.3873,0.3662,0.3483,0.1667,0.0494,0.0271
Nikola Kalinic,Verona,F S,Serie A,2020,19,1077,2,0,4.22,0.44,2,4.22,24,9,6.13,1.95,0.1671,0.0,0.3528,0.0366,0.1671,0.3528,2.0056,0.7521,0.5126,0.1626,0.0833,-0.1857,-0.0366
Rafael Toloi,Atalanta,D S,Serie A,2020,31,2542,2,0,3.29,0.89,2,3.29,29,15,12.48,10.51,0.0708,0.0,0.1166,0.0315,0.0708,0.1166,1.0268,0.5311,0.4418,0.3722,0.069,-0.0458,-0.0315
Remo Freuler,Atalanta,M S,Serie A,2020,34,2726,2,3,2.01,3.95,2,2.01,20,30,16.84,13.42,0.066,0.099,0.0664,0.1305,0.066,0.0664,0.6603,0.9905,0.5559,0.443,0.1,-0.0004,-0.0315
Leonardo Spinazzola,Roma,D S,Serie A,2020,27,2137,2,4,2.18,6.56,2,2.18,22,37,14.65,6.96,0.0842,0.1685,0.0918,0.2764,0.0842,0.0918,0.9265,1.5583,0.6171,0.2932,0.0909,-0.0076,-0.1079
Marcelo Brozovic,Inter,M S,Serie A,2020,33,2592,2,6,1.05,4.68,2,1.05,25,44,17.03,14.76,0.0694,0.2083,0.0364,0.1624,0.0694,0.0364,0.8681,1.5278,0.5914,0.5126,0.08,0.0331,0.046
Davide Calabria,AC Milan,D M S,Serie A,2020,32,2652,2,1,1.95,1.77,2,1.95,24,21,8.92,5.88,0.0679,0.0339,0.066,0.0602,0.0679,0.066,0.8145,0.7127,0.3026,0.1996,0.0833,0.0018,-0.0262
Artur Ionita,Benevento,F M S,Serie A,2020,36,2861,2,0,1.48,0.85,2,1.48,23,14,4.38,3.22,0.0629,0.0,0.0466,0.0267,0.0629,0.0466,0.7235,0.4404,0.1377,0.1012,0.087,0.0163,-0.0267
Roberto Insigne,Benevento,F M S,Serie A,2020,30,1598,2,4,3.69,3.85,2,3.69,39,40,9.6,3.03,0.1126,0.2253,0.2077,0.2169,0.1126,0.2077,2.1965,2.2528,0.5409,0.1705,0.0513,-0.0951,0.0084
Kamil Glik,Benevento,D,Serie A,2020,36,3208,2,1,3.27,0.36,2,3.27,28,4,4.95,4.54,0.0561,0.0281,0.0918,0.01,0.0561,0.0918,0.7855,0.1122,0.139,0.1275,0.0714,-0.0357,0.018
Nicola Sansone,Bologna,M S,Serie A,2020,26,1163,2,2,4.25,2.6,2,4.25,31,31,8.0,2.36,0.1548,0.1548,0.3287,0.201,0.1548,0.3287,2.399,2.399,0.619,0.1827,0.0645,-0.1739,-0.0462
Riccardo Gagliolo,Parma Calcio 1913,D S,Serie A,2020,28,1953,2,2,3.41,0.92,2,3.41,19,17,5.22,3.52,0.0922,0.0922,0.1572,0.0425,0.0922,0.1572,0.8756,0.7834,0.2407,0.1622,0.1053,-0.0651,0.0496
Martín Cáceres,Fiorentina,D S,Serie A,2020,29,2241,2,2,1.83,1.16,2,1.83,15,10,6.78,5.81,0.0803,0.0803,0.0734,0.0465,0.0803,0.0734,0.6024,0.4016,0.2723,0.2333,0.1333,0.0069,0.0339
Tiemoué Bakayoko,Napoli,M S,Serie A,2020,32,1985,2,1,1.4,0.71,2,1.4,16,11,8.17,7.88,0.0907,0.0453,0.0635,0.0321,0.0907,0.0635,0.7254,0.4987,0.3706,0.3571,0.125,0.0272,0.0132
Maxime Lopez,Sassuolo,M S,Serie A,2020,29,1876,2,0,1.57,1.08,2,1.57,10,20,9.2,7.81,0.0959,0.0,0.0753,0.052,0.0959,0.0753,0.4797,0.9595,0.4416,0.3747,0.2,0.0207,-0.052
Hans Hateboer,Atalanta,D M S,Serie A,2020,22,1769,2,1,3.95,1.66,2,3.95,27,20,16.09,11.72,0.1018,0.0509,0.2008,0.0846,0.1018,0.2008,1.3737,1.0175,0.8186,0.5964,0.0741,-0.0991,-0.0338
Diego Demme,Napoli,M S,Serie A,2020,24,1606,2,3,1.42,2.17,2,1.42,14,20,10.84,8.24,0.1121,0.1681,0.0795,0.1214,0.1121,0.0795,0.7846,1.1208,0.6073,0.4616,0.1429,0.0325,0.0468
Yann Karamoh,Parma Calcio 1913,F M S,Serie A,2020,24,1313,2,1,4.82,1.69,2,4.82,22,15,8.14,2.21,0.1371,0.0685,0.3302,0.1156,0.1371,0.3302,1.508,1.0282,0.5582,0.1514,0.0909,-0.1931,-0.0471
Adam Marusic,Lazio,D S,Serie A,2020,36,2963,2,3,2.18,1.76,2,2.18,27,29,12.36,9.41,0.0607,0.0911,0.0663,0.0533,0.0607,0.0663,0.8201,0.8809,0.3755,0.2859,0.0741,-0.0056,0.0378
Manuel Lazzari,Lazio,D S,Serie A,2020,32,2627,2,5,2.22,3.44,2,2.22,24,28,12.54,7.62,0.0685,0.1713,0.0761,0.1177,0.0685,0.0761,0.8222,0.9593,0.4296,0.261,0.0833,-0.0075,0.0536
Jens Stryger Larsen,Udinese,D M S,Serie A,2020,33,2657,2,0,3.67,1.19,2,3.67,23,10,7.99,4.44,0.0677,0.0,0.1244,0.0404,0.0677,0.1244,0.7791,0.3387,0.2708,0.1503,0.087,-0.0566,-0.0404
Riccardo Sottil,Cagliari,F M S,Serie A,2020,21,1184,2,1,1.39,1.85,2,1.39,24,16,4.75,1.77,0.152,0.076,0.1059,0.141,0.152,0.1059,1.8243,1.2162,0.3611,0.1346,0.0833,0.0461,-0.0649
Matteo Pessina,Atalanta,M S,Serie A,2020,28,1667,2,2,2.49,2.94,2,2.49,22,27,13.36,8.99,0.108,0.108,0.1347,0.1585,0.108,0.1347,1.1878,1.4577,0.7211,0.4855,0.0909,-0.0267,-0.0506
Arkadiusz Reca,Crotone,D S,Serie A,2020,30,2324,2,3,1.22,2.73,2,1.22,30,27,5.26,2.41,0.0775,0.1162,0.0471,0.1057,0.0775,0.0471,1.1618,1.0456,0.2035,0.0932,0.0667,0.0304,0.0105
Omar Colley,Sampdoria,D S,Serie A,2020,29,2591,2,0,1.44,0.08,2,1.44,12,2,4.17,4.12,0.0695,0.0,0.05,0.0029,0.0695,0.05,0.4168,0.0695,0.1449,0.143,0.1667,0.0195,-0.0029
Cristian Romero,Atalanta,D S,Serie A,2020,31,2552,2,2,1.36,0.84,2,1.36,14,9,11.66,11.0,0.0705,0.0705,0.0479,0.0298,0.0705,0.0479,0.4937,0.3174,0.4112,0.3879,0.1429,0.0226,0.0408
Takehiro Tomiyasu,Bologna,D,Serie A,2020,31,2721,2,0,2.29,0.43,2,2.29,16,8,8.13,7.27,0.0662,0.0,0.0756,0.0142,0.0662,0.0756,0.5292,0.2646,0.2689,0.2405,0.125,-0.0094,-0.0142
Andreas Skov Olsen,Bologna,D M S,Serie A,2020,26,1170,2,2,3.86,2.06,2,3.86,30,19,7.77,2.63,0.1538,0.1538,0.2967,0.1583,0.1538,0.2967,2.3077,1.4615,0.5976,0.2026,0.0667,-0.1428,-0.0044
Nahitan Nández,Cagliari,D M S,Serie A,2020,32,2747,2,2,3.09,2.63,2,3.09,32,30,12.32,7.11,0.0655,0.0655,0.1014,0.0861,0.0655,0.1014,1.0484,0.9829,0.4035,0.2329,0.0625,-0.0359,-0.0206
Alexis Saelemaekers,AC Milan,D M S,Serie A,2020,32,2065,2,4,3.0,3.18,2,3.0,28,30,12.02,6.44,0.0872,0.1743,0.1309,0.1386,0.0872,0.1309,1.2203,1.3075,0.5241,0.2807,0.0714,-0.0437,0.0358
Mergim Vojvoda,Torino,D M S,Serie A,2020,24,1360,2,2,1.17,0.84,2,1.17,6,8,3.86,2.38,0.1324,0.1324,0.0777,0.0555,0.1324,0.0777,0.3971,0.5294,0.2553,0.1576,0.3333,0.0547,0.0769
Ivan Ilic,Verona,M S,Serie A,2020,29,1826,2,0,1.87,0.54,2,1.87,12,16,9.12,7.18,0.0986,0.0,0.0924,0.0268,0.0986,0.0924,0.5915,0.7886,0.4497,0.3537,0.1667,0.0062,-0.0268
Vladimir Golemic,Crotone,D S,Serie A,2020,30,2331,2,0,1.27,0.52,1,0.51,6,6,3.36,3.27,0.0772,0.0,0.0491,0.02,0.0386,0.0197,0.2317,0.2317,0.1297,0.1262,0.3333,0.0281,-0.02
Mikkel Damsgaard,Sampdoria,D F M S,Serie A,2020,35,1773,2,4,3.34,2.12,2,3.34,25,25,7.31,3.92,0.1015,0.203,0.1697,0.1077,0.1015,0.1697,1.269,1.269,0.3708,0.1992,0.08,-0.0682,0.0954
Nahuel Molina,Udinese,D S,Serie A,2020,29,1808,2,5,1.22,2.7,2,1.22,16,22,8.58,5.6,0.0996,0.2489,0.0608,0.1344,0.0996,0.0608,0.7965,1.0951,0.4269,0.2787,0.125,0.0387,0.1145
Arturo Vidal,Inter,M S,Serie A,2020,23,1136,1,1,2.76,0.9,1,2.76,21,11,10.25,7.89,0.0792,0.0792,0.2184,0.0711,0.0792,0.2184,1.6637,0.8715,0.8119,0.625,0.0476,-0.1392,0.0081
Ashley Young,Inter,D M S,Serie A,2020,26,1435,1,4,1.53,2.14,1,1.53,15,29,6.41,4.0,0.0627,0.2509,0.0957,0.1341,0.0627,0.0957,0.9408,1.8188,0.4023,0.2509,0.0667,-0.033,0.1168
Fikayo Tomori,AC Milan,D S,Serie A,2020,17,1466,1,0,0.98,0.0,1,0.98,5,0,5.0,5.0,0.0614,0.0,0.06,0.0,0.0614,0.06,0.307,0.0,0.3069,0.3069,0.2,0.0014,0.0
Maya Yoshida,Sampdoria,D S,Serie A,2020,32,2275,1,2,1.54,0.7,1,1.54,11,6,3.83,3.69,0.0396,0.0791,0.0608,0.0276,0.0396,0.0608,0.4352,0.2374,0.1516,0.1459,0.0909,-0.0213,0.0515
Tomás Rincón,Torino,M S,Serie A,2020,36,2881,1,1,1.36,1.78,1,1.36,22,14,10.57,8.19,0.0312,0.0312,0.0426,0.0557,0.0312,0.0426,0.6873,0.4373,0.3303,0.2557,0.0455,-0.0113,-0.0244
Alessio Romagnoli,AC Milan,D S,Serie A,2020,22,1905,1,1,2.88,0.97,1,2.88,15,3,3.95,3.93,0.0472,0.0472,0.1359,0.0457,0.0472,0.1359,0.7087,0.1417,0.1868,0.1857,0.0667,-0.0887,0.0015
Samir,Udinese,D S,Serie A,2020,30,2210,1,0,1.32,0.89,1,1.32,11,9,7.32,6.52,0.0407,0.0,0.0538,0.0364,0.0407,0.0538,0.448,0.3665,0.2979,0.2655,0.0909,-0.0131,-0.0364
Cristiano Biraghi,Fiorentina,D S,Serie A,2020,35,2821,1,5,1.8,6.59,1,1.8,26,49,10.24,6.06,0.0319,0.1595,0.0575,0.2103,0.0319,0.0575,0.8295,1.5633,0.3268,0.1932,0.0385,-0.0256,-0.0508
Gastón Brugman,Parma Calcio 1913,M S,Serie A,2020,26,1634,1,1,0.98,2.6,1,0.98,18,26,8.44,6.69,0.0551,0.0551,0.0541,0.1432,0.0551,0.0541,0.9914,1.4321,0.4648,0.3684,0.0556,0.001,-0.0882
Bryan Cristante,Roma,D M S,Serie A,2020,34,2142,1,3,2.37,1.74,1,2.37,28,16,12.02,8.87,0.042,0.1261,0.0994,0.073,0.042,0.0994,1.1765,0.6723,0.5052,0.3729,0.0357,-0.0574,0.0531
Karol Linetty,Torino,M S,Serie A,2020,27,1846,1,0,1.05,1.12,1,1.05,7,15,5.75,3.75,0.0488,0.0,0.051,0.0548,0.0488,0.051,0.3413,0.7313,0.2802,0.183,0.1429,-0.0023,-0.0548
Radja Nainggolan,"Cagliari,Inter",M S,Serie A,2020,26,1887,1,0,1.29,1.74,1,1.29,51,23,8.39,6.01,0.0477,0.0,0.0614,0.0828,0.0477,0.0614,2.4324,1.097,0.4001,0.2866,0.0196,-0.0138,-0.0828
Giuseppe Pezzella,Parma Calcio 1913,D S,Serie A,2020,24,1835,1,4,0.2,3.43,1,0.2,7,20,7.79,5.63,0.049,0.1962,0.01,0.1681,0.049,0.01,0.3433,0.9809,0.382,0.276,0.1429,0.039,0.0281
Daniele Rugani,Cagliari,D S,Serie A,2020,16,1008,1,1,0.18,0.62,1,0.18,3,3,2.13,2.11,0.0893,0.0893,0.0165,0.0554,0.0893,0.0165,0.2679,0.2679,0.1899,0.1882,0.3333,0.0728,0.0338
Lorenzo Tonelli,Sampdoria,D S,Serie A,2020,23,1787,1,0,2.16,0.0,1,2.16,13,0,2.52,2.46,0.0504,0.0,0.1087,0.0,0.0504,0.1087,0.6547,0.0,0.1271,0.1241,0.0769,-0.0583,0.0
Bruno Alves,Parma Calcio 1913,D S,Serie A,2020,19,1630,1,0,0.31,0.11,1,0.31,10,2,3.22,3.22,0.0552,0.0,0.0173,0.0062,0.0552,0.0173,0.5521,0.1104,0.178,0.1776,0.1,0.038,-0.0062
Milan Badelj,Genoa,M S,Serie A,2020,30,2419,1,4,0.7,3.03,1,0.7,17,28,9.16,6.09,0.0372,0.1488,0.0262,0.1129,0.0372,0.0262,0.6325,1.0418,0.3407,0.2265,0.0588,0.011,0.036
Simone Verdi,Torino,F M S,Serie A,2020,33,1613,1,5,3.52,4.7,1,3.52,41,52,7.21,2.49,0.0558,0.279,0.1965,0.2621,0.0558,0.1965,2.2877,2.9014,0.4021,0.1392,0.0244,-0.1407,0.0169
Erick Pulgar,Fiorentina,M S,Serie A,2020,31,1993,1,3,0.73,2.1,1,0.73,16,23,4.03,2.91,0.0452,0.1355,0.0329,0.0949,0.0452,0.0329,0.7225,1.0386,0.182,0.1316,0.0625,0.0123,0.0406
Cristian Ansaldi,Torino,D M S,Serie A,2020,31,1929,1,6,1.75,5.25,0,0.98,18,35,6.66,3.24,0.0467,0.2799,0.0814,0.2451,0.0,0.0459,0.8398,1.633,0.3106,0.1513,0.0556,-0.0348,0.0348
Stefan de Vrij,Inter,D S,Serie A,2020,32,2730,1,0,0.77,0.25,1,0.77,12,6,16.1,16.01,0.033,0.0,0.0254,0.0083,0.033,0.0254,0.3956,0.1978,0.5307,0.5277,0.0833,0.0076,-0.0083
Bruno Peres,Roma,D M S,Serie A,2020,30,1402,1,2,1.25,4.32,1,1.25,12,28,9.77,6.73,0.0642,0.1284,0.0801,0.2775,0.0642,0.0801,0.7703,1.7974,0.6269,0.4317,0.0833,-0.0159,-0.1491
Marten de Roon,Atalanta,M S,Serie A,2020,35,3021,1,1,0.6,1.14,1,0.6,17,19,17.31,16.03,0.0298,0.0298,0.0179,0.034,0.0298,0.0179,0.5065,0.566,0.5158,0.4775,0.0588,0.0119,-0.0042
